date_heure_comptage;debit_horaire;taux_occupation;etat_trafic;etat_arc;est_vacances;est_ferie;precipitation;duree_precipitation_min;vitesse_vent_ms
2024-12-09 05:00:00;199.0;2.20945;Fluide;Invalide;0;0;0.0;0.0;6.0
2024-12-09 06:00:00;235.0;2.28778;Fluide;Invalide;0;0;0.0;4.0;5.5
2024-12-09 09:00:00;1041.0;11.63222;Fluide;Invalide;0;0;0.0;50.0;5.5
2025-09-02 09:00:00;1139.0;28.39222;Pré-saturé;Ouvert;0;0;0.0;0.0;4.3
2024-09-04 20:00:00;686.0;13.21611;Fluide;Invalide;0;0;0.0;0.0;3.5
2024-09-04 21:00:00;727.0;13.52611;Fluide;Invalide;0;0;0.0;0.0;3.8
2024-09-04 22:00:00;744.0;13.36722;Fluide;Invalide;0;0;0.0;0.0;2.5
2025-04-03 11:00:00;1138.0;16.94889;Pré-saturé;Ouvert;0;0;0.0;0.0;4.2
2025-09-03 09:00:00;1299.0;41.56389;Saturé;Ouvert;0;0;0.0;0.0;5.5
2025-09-03 08:00:00;1051.0;24.45722;Pré-saturé;Ouvert;0;0;0.0;0.0;5.3
2025-09-03 07:00:00;804.0;18.95111;Pré-saturé;Ouvert;0;0;0.0;0.0;5.4
2025-09-03 06:00:00;570.0;5.24945;Fluide;Ouvert;0;0;0.0;0.0;4.4
2025-09-03 05:00:00;406.0;5.65334;Fluide;Ouvert;0;0;0.0;0.0;5.1
2025-09-03 03:00:00;370.0;7.66278;Fluide;Ouvert;0;0;0.0;0.0;3.7
2025-09-03 02:00:00;596.0;23.49667;Pré-saturé;Ouvert;0;0;0.0;0.0;2.3
2025-09-03 01:00:00;676.0;25.71556;Pré-saturé;Ouvert;0;0;0.0;0.0;3.8
2025-10-02 02:00:00;495.0;7.18889;Fluide;Ouvert;0;0;0.0;0.0;1.5
2025-10-02 08:00:00;868.0;10.78445;Fluide;Ouvert;0;0;0.2;0.0;2.0
2024-10-04 12:00:00;1324.0;23.14056;Pré-saturé;Invalide;0;0;0.0;0.0;2.9
2024-09-04 17:00:00;749.0;15.98555;Pré-saturé;Invalide;0;0;0.0;0.0;2.6
2024-10-04 13:00:00;1204.0;25.86889;Pré-saturé;Invalide;0;0;0.0;0.0;3.1
2024-10-04 14:00:00;1185.0;25.97833;Pré-saturé;Invalide;0;0;0.0;0.0;2.8
2025-08-04 12:00:00;882.0;20.78667;Pré-saturé;Ouvert;1;0;0.0;0.0;3.9
2025-08-04 11:00:00;844.0;14.14722;Fluide;Ouvert;1;0;0.0;0.0;3.3
2025-08-04 10:00:00;751.0;9.24889;Fluide;Ouvert;1;0;0.0;0.0;3.4
2025-10-09 10:00:00;646.0;38.90778;Saturé;Ouvert;0;0;0.0;0.0;1.9
2025-06-05 15:00:00;1279.0;29.29334;Pré-saturé;Ouvert;0;0;0.0;0.0;6.5
2025-06-05 18:00:00;1226.0;27.80111;Pré-saturé;Ouvert;0;0;1.8;60.0;3.9
2025-07-02 15:00:00;1204.0;35.94056;Saturé;Ouvert;0;0;0.0;0.0;6.0
2025-07-02 14:00:00;1192.0;31.92278;Saturé;Ouvert;0;0;0.0;0.0;7.4
