iter	Passed	Remaining
0	14	9952
1	25	8900
2	36	8518
3	47	8351
4	60	8371
5	70	8165
6	80	7920
7	89	7732
8	98	7550
9	107	7388
10	118	7419
11	130	7460
12	140	7422
13	152	7458
14	162	7415
15	171	7337
16	183	7362
17	193	7335
18	204	7328
19	215	7335
20	227	7345
21	238	7351
22	249	7329
23	259	7298
24	270	7306
25	281	7308
26	291	7256
27	301	7239
28	311	7213
29	323	7216
30	333	7207
31	344	7199
32	354	7172
33	364	7134
34	375	7138
35	384	7095
36	418	7503
37	429	7480
38	439	7451
39	450	7433
40	460	7408
41	470	7376
42	482	7375
43	494	7367
44	507	7381
45	518	7378
46	532	7401
47	546	7420
48	556	7398
49	568	7394
50	580	7383
51	589	7350
52	600	7324
53	609	7285
54	618	7259
55	630	7251
56	642	7247
57	655	7251
58	665	7233
59	679	7244
60	689	7219
61	697	7180
62	708	7162
63	716	7124
64	727	7110
65	739	7099
66	748	7074
67	758	7049
68	769	7041
69	781	7030
70	792	7017
71	801	6994
72	813	6985
73	823	6966
74	833	6947
75	844	6933
76	855	6919
77	866	6909
78	877	6898
79	890	6902
80	909	6947
81	919	6932
82	933	6939
83	946	6942
84	959	6941
85	972	6946
86	984	6937
87	995	6924
88	1010	6939
89	1023	6934
90	1035	6929
91	1048	6926
92	1061	6926
93	1071	6910
94	1084	6906
95	1097	6904
96	1110	6901
97	1121	6892
98	1133	6883
99	1146	6880
100	1159	6877
101	1174	6886
102	1186	6875
103	1198	6868
104	1212	6869
105	1225	6866
106	1238	6861
107	1250	6854
108	1263	6853
109	1278	6858
110	1291	6851
111	1306	6858
112	1318	6849
113	1328	6829
114	1340	6819
115	1353	6816
116	1365	6802
117	1379	6804
118	1393	6801
119	1405	6791
120	1415	6775
121	1427	6764
122	1444	6776
123	1456	6766
124	1471	6766
125	1482	6753
126	1493	6739
127	1504	6724
128	1516	6711
129	1526	6694
130	1540	6689
131	1548	6663
132	1559	6648
133	1570	6635
134	1580	6616
135	1592	6602
136	1603	6588
137	1613	6571
138	1623	6552
139	1636	6544
140	1646	6526
141	1659	6520
142	1670	6508
143	1683	6498
144	1694	6487
145	1707	6478
146	1718	6464
147	1730	6455
148	1744	6452
149	1758	6446
150	1770	6435
151	1781	6421
152	1795	6419
153	1809	6413
154	1820	6401
155	1833	6393
156	1844	6379
157	1855	6365
158	1868	6356
159	1881	6350
160	1893	6338
161	1905	6327
162	1915	6311
163	1928	6301
164	1937	6283
165	1948	6267
166	1957	6247
167	1969	6238
168	1978	6216
169	1991	6209
170	2004	6202
171	2014	6184
172	2026	6172
173	2035	6153
174	2047	6143
175	2060	6133
176	2071	6121
177	2081	6103
178	2093	6091
179	2104	6078
180	2115	6066
181	2130	6062
182	2139	6045
183	2152	6036
184	2164	6024
185	2174	6010
186	2186	5999
187	2197	5984
188	2207	5968
189	2217	5952
190	2230	5944
191	2244	5937
192	2256	5928
193	2268	5917
194	2280	5906
195	2293	5897
196	2305	5885
197	2314	5867
198	2326	5856
199	2336	5840
200	2347	5826
201	2359	5816
202	2369	5801
203	2380	5788
204	2394	5782
205	2406	5771
206	2415	5753
207	2428	5745
208	2439	5730
209	2448	5712
210	2460	5702
211	2471	5689
212	2483	5678
213	2494	5665
214	2509	5660
215	2524	5657
216	2541	5656
217	2554	5647
218	2566	5637
219	2577	5622
220	2589	5613
221	2602	5603
222	2615	5594
223	2628	5586
224	2640	5575
225	2655	5569
226	2666	5556
227	2676	5541
228	2691	5536
229	2703	5524
230	2714	5510
231	2728	5504
232	2739	5490
233	2752	5481
234	2765	5471
235	2775	5457
236	2786	5443
237	2797	5430
238	2807	5414
239	2818	5402
240	2831	5392
241	2841	5376
242	2853	5366
243	2864	5353
244	2875	5340
245	2887	5328
246	2898	5316
247	2908	5301
248	2920	5289
249	2930	5275
250	2941	5261
251	2954	5252
252	2968	5244
253	2978	5230
254	2996	5229
255	3008	5218
256	3023	5211
257	3034	5199
258	3046	5188
259	3060	5179
260	3073	5168
261	3085	5157
262	3097	5147
263	3108	5134
264	3122	5125
265	3133	5112
266	3146	5103
267	3158	5091
268	3170	5079
269	3183	5069
270	3193	5055
271	3204	5041
272	3217	5032
273	3227	5018
274	3240	5007
275	3251	4994
276	3261	4980
277	3273	4968
278	3285	4957
279	3296	4944
280	3306	4929
281	3317	4917
282	3329	4906
283	3339	4891
284	3351	4880
285	3362	4867
286	3375	4857
287	3385	4842
288	3400	4835
289	3410	4821
290	3423	4811
291	3433	4797
292	3446	4787
293	3458	4775
294	3470	4764
295	3484	4755
296	3497	4745
297	3513	4740
298	3528	4732
299	3539	4719
300	3553	4710
301	3566	4699
302	3581	4692
303	3594	4681
304	3606	4670
305	3618	4658
306	3631	4648
307	3644	4638
308	3655	4626
309	3670	4617
310	3683	4607
311	3692	4592
312	3703	4579
313	3716	4568
314	3728	4556
315	3744	4550
316	3757	4540
317	3768	4527
318	3781	4516
319	3793	4505
320	3804	4491
321	3815	4479
322	3826	4466
323	3840	4456
324	3851	4444
325	3862	4430
326	3875	4420
327	3887	4408
328	3898	4396
329	3911	4385
330	3922	4373
331	3937	4364
332	3947	4350
333	3959	4339
334	3971	4327
335	3983	4315
336	3993	4301
337	4007	4292
338	4020	4281
339	4030	4267
340	4041	4254
341	4055	4244
342	4066	4232
343	4080	4222
344	4091	4209
