Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2025-09-02T11:00:00+02:00;462.0;4.20056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-10-09T11:00:00+02:00;514.0;3.86722;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-02T12:00:00+02:00;482.0;3.24945;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-09-02T13:00:00+02:00;563.0;4.57445;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Ouvert;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2024-10-04T12:00:00+02:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-02-18T21:00:00+01:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-02-18T20:00:00+01:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-02-18T19:00:00+01:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2025-02-18T15:00:00+01:00;;;Inconnu;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
5671;Convention;2024-12-09T01:00:00+01:00;157.0;0.77889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;20/01/1997;01/01/2023;48.838634371808965, 2.293205602717535;"{""coordinates"": [[2.291878306272707, 48.83923810621147], [2.2945328991623635, 48.83803063740647]], ""type"": ""LineString""}"
