datetime;Identifiant arc;Libelle;debit_horaire;taux_occupation;Etat trafic;Identifiant noeud amont;noeud_amont;Identifiant noeud aval;noeud_aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape;date;jour_nom;jour_Dimanche;jour_Jeudi;jour_Lundi;jour_Mardi;jour_Mercredi;jour_Samedi;jour_Vendredi;jour_ferie;veille_jour_ferie;vacances_scolaires;precipitation_mm;vent_vitesse_ms;temperature;neige_cm;ensoleillement_min;il_pleut;il_fait_jour;debit_horaire_moyenne_3h;taux_occupation_moyenne_3h;debit_horaire_moyenne_3j_meme_heure;taux_occupation_moyenne_3j_meme_heure;debit_horaire_moyenne_3s_meme_jour_heure;taux_occupation_moyenne_3s_meme_jour_heure
2024-09-01 03:00:00+00:00;4264;AV_Champs_Elysees;532.0;8.08889;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.16999999999999998;1.95;0.0;0.0;0;0;;;;;;
2024-09-01 04:00:00+00:00;4264;AV_Champs_Elysees;331.0;3.915;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.26;1.9899999999999998;0.0;0.0;0;0;532.0;8.08889;;;;
2024-09-01 05:00:00+00:00;4264;AV_Champs_Elysees;272.0;2.69167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.02;0.13;1.97;0.0;0.0;1;0;431.5;6.001944999999999;;;;
2024-09-01 06:00:00+00:00;4264;AV_Champs_Elysees;191.0;2.23612;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.08;1.98;0.0;23.0;0;1;378.3333333333333;4.8985199999999995;;;;
2024-09-01 07:00:00+00:00;4264;AV_Champs_Elysees;201.0;2.63333;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.18;2.13;;60.0;0;1;264.6666666666667;2.947596666666667;;;;
2024-09-01 08:00:00+00:00;4264;AV_Champs_Elysees;297.0;4.315;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.4;2.2399999999999998;0.0;54.0;0;1;221.33333333333334;2.520373333333333;;;;
2024-09-01 09:00:00+00:00;4264;AV_Champs_Elysees;337.0;5.135;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.25;2.5100000000000002;0.0;60.0;0;1;229.66666666666666;3.061483333333334;;;;
2024-09-01 10:00:00+00:00;4264;AV_Champs_Elysees;418.0;6.69389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.4;2.71;0.0;60.0;0;1;278.3333333333333;4.027776666666667;;;;
2024-09-01 11:00:00+00:00;4264;AV_Champs_Elysees;452.0;10.82;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.38;2.68;0.0;60.0;0;1;350.6666666666667;5.381296666666667;;;;
2024-09-01 12:00:00+00:00;4264;AV_Champs_Elysees;480.0;8.32778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";2024-09-01;Dimanche;1;0;0;0;0;0;0;0;0;0;0.0;0.37;2.7600000000000002;0.0;60.0;0;1;402.3333333333333;7.5496300000000005;;;;
