;NOM_USUEL;precipitations heure;duree prec (en min);force moyenne vent (m/s);Température;datetime
0;PARIS-MONTSOURIS;0.0;0.0;4.4;7.1;2024-01-01 00:00:00
1;PARIS-MONTSOURIS;0.0;0.0;4.8;7.1;2024-01-01 01:00:00
2;PARIS-MONTSOURIS;0.0;0.0;5.1;7.2;2024-01-01 02:00:00
3;PARIS-MONTSOURIS;0.0;0.0;5.8;7.0;2024-01-01 03:00:00
4;PARIS-MONTSOURIS;0.0;0.0;5.0;6.9;2024-01-01 04:00:00
5;PARIS-MONTSOURIS;0.0;0.0;4.3;6.7;2024-01-01 05:00:00
6;PARIS-MONTSOURIS;0.0;0.0;4.9;6.4;2024-01-01 06:00:00
7;PARIS-MONTSOURIS;0.0;0.0;4.3;6.2;2024-01-01 07:00:00
8;PARIS-MONTSOURIS;0.0;0.0;3.7;6.1;2024-01-01 08:00:00
9;PARIS-MONTSOURIS;0.0;0.0;2.9;6.3;2024-01-01 09:00:00
10;PARIS-MONTSOURIS;0.0;0.0;4.0;6.6;2024-01-01 10:00:00
11;PARIS-MONTSOURIS;0.0;0.0;4.3;7.3;2024-01-01 11:00:00
12;PARIS-MONTSOURIS;0.0;0.0;5.5;8.3;2024-01-01 12:00:00
13;PARIS-MONTSOURIS;0.0;0.0;3.6;9.5;2024-01-01 13:00:00
14;PARIS-MONTSOURIS;0.0;0.0;4.3;10.2;2024-01-01 14:00:00
15;PARIS-MONTSOURIS;0.0;0.0;4.4;10.0;2024-01-01 15:00:00
16;PARIS-MONTSOURIS;0.0;0.0;3.4;9.5;2024-01-01 16:00:00
17;PARIS-MONTSOURIS;0.0;0.0;3.8;9.2;2024-01-01 17:00:00
18;PARIS-MONTSOURIS;0.0;0.0;4.2;9.1;2024-01-01 18:00:00
19;PARIS-MONTSOURIS;0.0;0.0;6.4;9.2;2024-01-01 19:00:00
20;PARIS-MONTSOURIS;0.6;47.0;4.4;9.2;2024-01-01 20:00:00
21;PARIS-MONTSOURIS;2.0;60.0;4.9;9.0;2024-01-01 21:00:00
22;PARIS-MONTSOURIS;2.0;60.0;6.3;9.0;2024-01-01 22:00:00
23;PARIS-MONTSOURIS;1.0;60.0;8.2;9.2;2024-01-01 23:00:00
24;PARIS-MONTSOURIS;0.9;60.0;7.0;9.9;2024-01-02 00:00:00
25;PARIS-MONTSOURIS;0.6;60.0;7.8;10.4;2024-01-02 01:00:00
26;PARIS-MONTSOURIS;0.4;60.0;6.8;10.7;2024-01-02 02:00:00
27;PARIS-MONTSOURIS;0.6;60.0;7.6;10.8;2024-01-02 03:00:00
28;PARIS-MONTSOURIS;0.8;60.0;9.1;11.0;2024-01-02 04:00:00
29;PARIS-MONTSOURIS;0.8;60.0;8.1;10.6;2024-01-02 05:00:00
30;PARIS-MONTSOURIS;1.0;60.0;7.7;10.2;2024-01-02 06:00:00
31;PARIS-MONTSOURIS;0.6;60.0;7.8;10.1;2024-01-02 07:00:00
32;PARIS-MONTSOURIS;0.6;60.0;8.1;10.1;2024-01-02 08:00:00
33;PARIS-MONTSOURIS;0.6;60.0;8.2;10.3;2024-01-02 09:00:00
34;PARIS-MONTSOURIS;0.6;60.0;8.8;10.5;2024-01-02 10:00:00
35;PARIS-MONTSOURIS;0.8;60.0;7.6;10.8;2024-01-02 11:00:00
36;PARIS-MONTSOURIS;1.0;60.0;8.5;10.9;2024-01-02 12:00:00
37;PARIS-MONTSOURIS;0.2;50.0;8.1;11.1;2024-01-02 13:00:00
38;PARIS-MONTSOURIS;0.6;60.0;9.1;11.2;2024-01-02 14:00:00
39;PARIS-MONTSOURIS;0.0;54.0;9.4;11.1;2024-01-02 15:00:00
40;PARIS-MONTSOURIS;0.2;59.0;9.5;11.1;2024-01-02 16:00:00
41;PARIS-MONTSOURIS;0.0;37.0;7.9;11.2;2024-01-02 17:00:00
42;PARIS-MONTSOURIS;0.0;4.0;7.7;11.4;2024-01-02 18:00:00
43;PARIS-MONTSOURIS;0.2;10.0;7.6;11.7;2024-01-02 19:00:00
44;PARIS-MONTSOURIS;0.4;16.0;5.0;10.9;2024-01-02 20:00:00
45;PARIS-MONTSOURIS;0.0;0.0;5.2;11.2;2024-01-02 21:00:00
46;PARIS-MONTSOURIS;0.0;0.0;5.4;11.2;2024-01-02 22:00:00
47;PARIS-MONTSOURIS;0.0;0.0;4.4;11.2;2024-01-02 23:00:00
48;PARIS-MONTSOURIS;0.0;0.0;5.7;11.1;2024-01-03 00:00:00
49;PARIS-MONTSOURIS;0.0;0.0;4.7;11.2;2024-01-03 01:00:00
50;PARIS-MONTSOURIS;0.0;0.0;4.4;11.1;2024-01-03 02:00:00
51;PARIS-MONTSOURIS;0.0;0.0;5.5;11.2;2024-01-03 03:00:00
52;PARIS-MONTSOURIS;2.2;37.0;7.0;10.7;2024-01-03 04:00:00
53;PARIS-MONTSOURIS;0.0;5.0;5.1;10.6;2024-01-03 05:00:00
54;PARIS-MONTSOURIS;0.0;0.0;4.4;10.7;2024-01-03 06:00:00
55;PARIS-MONTSOURIS;0.0;0.0;5.3;10.4;2024-01-03 07:00:00
56;PARIS-MONTSOURIS;0.0;0.0;4.9;10.5;2024-01-03 08:00:00
57;PARIS-MONTSOURIS;0.6;54.0;3.4;10.3;2024-01-03 09:00:00
58;PARIS-MONTSOURIS;0.2;15.0;5.2;10.4;2024-01-03 10:00:00
59;PARIS-MONTSOURIS;0.0;43.0;6.0;11.0;2024-01-03 11:00:00
60;PARIS-MONTSOURIS;0.0;0.0;5.9;11.6;2024-01-03 12:00:00
61;PARIS-MONTSOURIS;1.2;47.0;7.3;11.3;2024-01-03 13:00:00
62;PARIS-MONTSOURIS;0.6;26.0;6.7;10.1;2024-01-03 14:00:00
63;PARIS-MONTSOURIS;0.0;0.0;7.0;10.4;2024-01-03 15:00:00
