Description;Population;Date de début;Date de fin;Académies;Zones;annee_scolaire
Vacances de Noël;-;2024-12-21T00:00:00+01:00;2025-01-06T00:00:00+01:00;Paris;Zone C;2024-2025
Vacances de Printemps;-;2025-04-12T00:00:00+02:00;2025-04-28T00:00:00+02:00;Paris;Zone C;2024-2025
Vacances de Noël;-;2025-12-20T00:00:00+01:00;2026-01-05T00:00:00+01:00;Paris;Zone C;2025-2026
Pont de l'Ascension;-;2026-05-14T00:00:00+02:00;2026-05-18T00:00:00+02:00;Paris;Zone C;2025-2026
Vacances d'Été;Élèves;2026-07-04T00:00:00+02:00;2026-09-01T00:00:00+02:00;Paris;Zone C;2025-2026
Vacances de la Toussaint;-;2025-10-18T00:00:00+02:00;2025-11-03T00:00:00+01:00;Paris;Zone C;2025-2026
Vacances d'Hiver;-;2026-02-21T00:00:00+01:00;2026-03-09T00:00:00+01:00;Paris;Zone C;2025-2026
Vacances d'Hiver;-;2024-02-10T00:00:00+01:00;2024-02-26T00:00:00+01:00;Paris;Zone C;2023-2024
Vacances de la Toussaint;-;2024-10-19T00:00:00+02:00;2024-11-04T00:00:00+01:00;Paris;Zone C;2024-2025
Vacances d'Hiver;-;2025-02-15T00:00:00+01:00;2025-03-03T00:00:00+01:00;Paris;Zone C;2024-2025
Vacances de la Toussaint;-;2023-10-21T00:00:00+02:00;2023-11-06T00:00:00+01:00;Paris;Zone C;2023-2024
Vacances de Noël;-;2023-12-23T00:00:00+01:00;2024-01-08T00:00:00+01:00;Paris;Zone C;2023-2024
Vacances de Printemps;-;2024-04-06T00:00:00+02:00;2024-04-22T00:00:00+02:00;Paris;Zone C;2023-2024
Pont de l'Ascension;-;2024-05-09T00:00:00+02:00;2024-05-13T00:00:00+02:00;Paris;Zone C;2023-2024
Vacances d'Été;Élèves;2024-07-06T00:00:00+02:00;2024-09-02T00:00:00+02:00;Paris;Zone C;2023-2024
Pont de l'Ascension;-;2025-05-29T00:00:00+02:00;2025-06-02T00:00:00+02:00;Paris;Zone C;2024-2025
Vacances d'Été;Élèves;2025-07-05T00:00:00+02:00;2025-09-01T00:00:00+02:00;Paris;Zone C;2024-2025
Vacances de Printemps;-;2026-04-18T00:00:00+02:00;2026-05-04T00:00:00+02:00;Paris;Zone C;2025-2026
