lookback,lstm_units,dropout_rate,batch_size,epochs,mean_rmse,std_rmse
48,64,0.2,32,20,139.88345345501534,16.964722570876628
24,64,0.2,32,20,141.53810877027692,24.265029674453416
24,50,0.2,32,20,141.78515492312644,22.64093163987066
48,64,0.0,64,20,142.1558168000473,23.74292583754419
48,32,0.0,32,20,142.47229395844752,22.25757802465422
48,50,0.0,64,20,142.51475163224254,24.87251878154435
24,50,0.0,32,20,144.19456066287447,14.850608336435725
12,50,0.0,64,20,144.90737920820024,23.420344612552814
12,64,0.0,64,20,144.9347113975107,22.707141851921406
48,32,0.2,32,20,145.58041480032537,31.88937035659131
24,32,0.0,32,20,145.65886732806388,7.011661989026587
24,32,0.0,64,20,145.85405227536282,30.682513551687872
12,50,0.2,32,20,146.1813070925816,23.544518325407456
24,64,0.0,32,20,146.2718379138106,15.381870851704537
12,50,0.2,64,20,146.37407367167893,24.32216718492376
48,50,0.0,32,20,147.3048589039157,19.452036812373226
24,64,0.2,64,20,147.30525544612092,24.07301078868527
48,50,0.2,32,20,148.42833148492423,29.655798779534948
12,50,0.0,32,20,148.70201766782847,11.776565409284158
48,64,0.2,64,20,148.8217214633994,28.869258174940242
24,32,0.2,32,20,149.56583916286084,29.47929769356092
12,64,0.2,32,20,150.65531396633,28.043357988328648
24,64,0.0,64,20,150.78142372776074,39.31498975498417
12,32,0.0,64,20,150.80072334438935,21.402297984323276
12,64,0.2,64,20,150.87918927362523,24.45336300534688
48,64,0.0,32,20,150.9635472027076,19.139764089214253
12,64,0.0,32,20,151.8954528689617,3.2914858172369423
24,50,0.0,64,20,153.32509263896455,27.50054120078149
12,32,0.2,32,20,155.35507239767418,34.68408370045997
48,50,0.2,64,20,156.4645882341692,31.895690715124772
48,32,0.2,64,20,157.67765252736004,30.269172393920766
24,50,0.2,64,20,158.02610497217952,30.97134790369937
12,32,0.2,64,20,158.6180028763813,29.610843237947115
48,32,0.0,64,20,158.74078317233463,38.36704944329569
24,32,0.2,64,20,159.85237094955838,29.03109559890423
12,32,0.0,32,20,161.51307689412556,34.17184140817036
