;Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape;Unnamed: 0;NOM_USUEL;precipitations heure;duree prec (en min);force moyenne vent (m/s);datetime
0;4264;AV_Champs_Elysees;2024-09-01 05:00:00;532.0;8.08889;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5861;PARIS-MONTSOURIS;0.2;0.0;1.3;2024-09-01 05:00:00
1;4264;AV_Champs_Elysees;2024-09-01 06:00:00;331.0;3.915;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5862;PARIS-MONTSOURIS;0.0;0.0;0.8;2024-09-01 06:00:00
2;4264;AV_Champs_Elysees;2024-09-01 07:00:00;272.0;2.69167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5863;PARIS-MONTSOURIS;0.0;0.0;1.8;2024-09-01 07:00:00
3;4264;AV_Champs_Elysees;2024-09-01 08:00:00;191.0;2.23612;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5864;PARIS-MONTSOURIS;0.0;0.0;4.0;2024-09-01 08:00:00
4;4264;AV_Champs_Elysees;2024-09-01 09:00:00;201.0;2.63333;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5865;PARIS-MONTSOURIS;0.0;0.0;2.5;2024-09-01 09:00:00
5;4264;AV_Champs_Elysees;2024-09-01 10:00:00;297.0;4.315;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5866;PARIS-MONTSOURIS;0.0;0.0;4.0;2024-09-01 10:00:00
6;4264;AV_Champs_Elysees;2024-09-01 11:00:00;337.0;5.135;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5867;PARIS-MONTSOURIS;0.0;0.0;3.8;2024-09-01 11:00:00
7;4264;AV_Champs_Elysees;2024-09-01 12:00:00;418.0;6.69389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5868;PARIS-MONTSOURIS;0.0;0.0;3.7;2024-09-01 12:00:00
8;4264;AV_Champs_Elysees;2024-09-01 13:00:00;452.0;10.82;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5869;PARIS-MONTSOURIS;0.0;0.0;3.9;2024-09-01 13:00:00
9;4264;AV_Champs_Elysees;2024-09-01 14:00:00;480.0;8.32778;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5870;PARIS-MONTSOURIS;0.0;0.0;3.6;2024-09-01 14:00:00
10;4264;AV_Champs_Elysees;2024-09-01 15:00:00;565.0;12.62667;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5871;PARIS-MONTSOURIS;0.0;0.0;4.1;2024-09-01 15:00:00
11;4264;AV_Champs_Elysees;2024-09-01 16:00:00;757.0;21.38722;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5872;PARIS-MONTSOURIS;0.0;0.0;3.1;2024-09-01 16:00:00
12;4264;AV_Champs_Elysees;2024-09-01 17:00:00;651.0;16.40278;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5873;PARIS-MONTSOURIS;0.0;0.0;4.0;2024-09-01 17:00:00
13;4264;AV_Champs_Elysees;2024-09-01 18:00:00;634.0;20.52445;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;1996-10-10;2023-01-01;48.87153587897718, 2.3017227924560624;"{""coordinates"": [[2.3009951475338775, 48.871777042598445], [2.3024504373782473, 48.871294715355916]], ""type"": ""LineString""}";5874;PARIS-MONTSOURIS;0.0;0.0;1.8;2024-09-01 18:00:00
