;Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape;date;heure;dow;mois;annee;jour_mois;jour_semaine;heure_sin;heure_cos;jour_sin;jour_cos;mois_sin;mois_cos;NOM_USUEL;precipitations heure;duree prec (en min);force moyenne vent (m/s);Température;ensoleillement (en min);datetime;est_pieton;est_vacances;est_avant_vacances;est_ferie;est_avant_ferie;est_weekend
2339;191;Sts_Peres;2024-09-01 05:00:00;236.0;3.27889;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;5;6;9;2024;1;Dim;0.9659258262890683;0.25881904510252074;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.2;0.0;1.3;19.7;0.0;2024-09-01 05:00:00;0;1;0;0;0;1
2338;191;Sts_Peres;2024-09-01 06:00:00;187.0;2.77056;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;6;6;9;2024;1;Dim;1.0;6.123233995736766e-17;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;0.8;19.5;14.0;2024-09-01 06:00:00;0;1;0;0;0;1
2483;191;Sts_Peres;2024-09-01 07:00:00;125.0;1.87167;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;7;6;9;2024;1;Dim;0.9659258262890683;-0.25881904510252063;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;1.8;19.8;60.0;2024-09-01 07:00:00;0;1;0;0;0;1
2482;191;Sts_Peres;2024-09-01 08:00:00;193.0;2.395;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;8;6;9;2024;1;Dim;0.8660254037844387;-0.49999999999999983;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;4.0;21.3;54.0;2024-09-01 08:00:00;0;1;0;0;0;1
2481;191;Sts_Peres;2024-09-01 09:00:00;204.0;2.57167;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;9;6;9;2024;1;Dim;0.7071067811865476;-0.7071067811865475;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;2.5;22.4;60.0;2024-09-01 09:00:00;0;1;0;0;0;1
2337;191;Sts_Peres;2024-09-01 10:00:00;334.0;4.52389;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;10;6;9;2024;1;Dim;0.49999999999999994;-0.8660254037844387;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;4.0;25.2;60.0;2024-09-01 10:00:00;0;1;0;0;0;1
2336;191;Sts_Peres;2024-09-01 11:00:00;393.0;5.31556;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;11;6;9;2024;1;Dim;0.258819045102521;-0.9659258262890682;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;3.8;26.6;60.0;2024-09-01 11:00:00;1;1;0;0;0;1
2335;191;Sts_Peres;2024-09-01 12:00:00;485.0;6.23111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;12;6;9;2024;1;Dim;1.2246467991473532e-16;-1.0;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;3.7;26.5;60.0;2024-09-01 12:00:00;1;1;0;0;0;1
2480;191;Sts_Peres;2024-09-01 13:00:00;545.0;7.80833;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;13;6;9;2024;1;Dim;-0.2588190451025208;-0.9659258262890683;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;3.9;27.5;46.0;2024-09-01 13:00:00;1;1;0;0;0;1
2334;191;Sts_Peres;2024-09-01 14:00:00;621.0;8.88278;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;03/10/1996;01/01/2023;48.85728037029827, 2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.85826006602721], [2.331650600313023, 48.856300674569326]], ""type"": ""LineString""}";2024-09-01;14;6;9;2024;1;Dim;-0.4999999999999998;-0.8660254037844388;-0.7818314824680299;0.6234898018587334;-1.0;-1.8369701987210297e-16;PARIS-MONTSOURIS;0.0;0.0;3.6;27.6;45.0;2024-09-01 14:00:00;1;1;0;0;0;1
