;Description;Population;Date de début;Académies;Zones;annee_scolaire;datetime
0;Easter Monday;-;01/04/2024;Paris;Zone C;2023-2024;2024-04-01
1;Labor Day;-;01/05/2024;Paris;Zone C;2023-2024;2024-05-01
2;Victory Day;-;08/05/2024;Paris;Zone C;2023-2024;2024-05-08
3;Ascension Day;-;09/05/2024;Paris;Zone C;2023-2024;2024-05-09
4;Whit Monday;-;20/05/2024;Paris;Zone C;2023-2024;2024-05-20
5;National Day;-;14/07/2024;Paris;Zone C;2023-2024;2024-07-14
6;Assumption Day;-;15/08/2024;Paris;Zone C;2023-2024;2024-08-15
7;All Saints' Day;-;01/11/2024;Paris;Zone C;2024-2025;2024-11-01
8;Armistice Day;-;11/11/2024;Paris;Zone C;2024-2025;2024-11-11
9;Christmas Day;-;25/12/2024;Paris;Zone C;2024-2025;2024-12-25
10;New Year's Day;-;01/01/2025;Paris;Zone C;2024-2025;2025-01-01
11;Easter Monday;-;21/04/2025;Paris;Zone C;2024-2025;2025-04-21
12;Labor Day;-;01/05/2025;Paris;Zone C;2024-2025;2025-05-01
13;Victory Day;-;08/05/2025;Paris;Zone C;2024-2025;2025-05-08
14;Ascension Day;-;29/05/2025;Paris;Zone C;2024-2025;2025-05-29
15;Whit Monday;-;09/06/2025;Paris;Zone C;2024-2025;2025-06-09
16;National Day;-;14/07/2025;Paris;Zone C;2024-2025;2025-07-14
17;Assumption Day;-;15/08/2025;Paris;Zone C;2024-2025;2025-08-15
18;All Saints' Day;-;01/11/2025;Paris;Zone C;2025-2026;2025-11-01
19;Armistice Day;-;11/11/2025;Paris;Zone C;2025-2026;2025-11-11
20;Christmas Day;-;25/12/2025;Paris;Zone C;2025-2026;2025-12-25
