;date_debut;date_fin
0;2024-09-01 11:00:00;2024-09-01 18:00:00
1;2024-10-06 11:00:00;2024-10-06 18:00:00
2;2024-11-03 10:00:00;2024-11-03 17:00:00
3;2024-11-11 07:00:00;2024-11-11 14:00:00
4;2024-12-01 10:00:00;2024-12-01 17:00:00
5;2025-01-05 10:00:00;2025-01-05 17:00:00
6;2025-02-02 10:00:00;2025-02-02 17:00:00
7;2025-03-02 10:00:00;2025-03-02 17:00:00
8;2025-04-06 11:00:00;2025-04-06 18:00:00
9;2025-05-04 11:00:00;2025-05-04 18:00:00
10;2025-06-01 11:00:00;2025-06-01 18:00:00
11;2025-07-06 11:00:00;2025-07-06 18:00:00
12;2025-08-03 11:00:00;2025-08-03 18:00:00
13;2025-09-07 11:00:00;2025-09-07 18:00:00
14;2025-09-21 05:00:00;2025-09-21 23:00:00
15;2025-09-22 00:00:00;2025-09-22 01:00:00
16;2025-10-05 11:00:00;2025-10-05 18:00:00
17;2025-11-11 07:00:00;2025-11-11 14:00:00
18;2025-11-16 10:00:00;2025-11-16 17:00:00
19;2025-12-07 10:00:00;2025-12-07 17:00:00
