;Description;Date de début;Date de fin;Académies;Zones;annee_scolaire
0;Vacances d'Hiver;2024-02-10;2024-02-26;Paris;Zone C;2023-2024
1;Vacances de Printemps;2024-04-06;2024-04-22;Paris;Zone C;2023-2024
2;Pont de l'Ascension;2024-05-09;2024-05-13;Paris;Zone C;2023-2024
3;Vacances d'Été;2024-07-06;2024-09-02;Paris;Zone C;2023-2024
4;Vacances de la Toussaint;2024-10-19;2024-11-04;Paris;Zone C;2024-2025
5;Vacances de Noël;2024-12-21;2025-01-06;Paris;Zone C;2024-2025
6;Vacances d'Hiver;2025-02-15;2025-03-03;Paris;Zone C;2024-2025
7;Vacances de Printemps;2025-04-12;2025-04-28;Paris;Zone C;2024-2025
8;Pont de l'Ascension;2025-05-29;2025-06-02;Paris;Zone C;2024-2025
9;Vacances d'Été;2025-07-05;2025-09-01;Paris;Zone C;2024-2025
10;Vacances de la Toussaint;2025-10-18;2025-11-03;Paris;Zone C;2025-2026
